ID,Building ID,Final Clean UBI
870,3200167,38940826
871,3504819,40370804
872,3547767,56270099
873,3505747,62190032
874,3426348,04080836
875,3497644,0516S0862
876,3497644,0516S0036
877,3442458,16010001
879,1391567,00132073
880,3185754,00270820
881,2656301,00360048
882,3608806,00810843
883,1551671,01001617
884,1331462,01050845
885,1396919,01070077
886,1997814,01150084
887,3350280,01170078
888,1356879,01260060
889,1356880,01260830
890,2364583,01390074
891,3632808,01572150
892,1127988,01590087
893,2962687,01620101
894,2362274,01640036
895,3506489,01730809
896,2256771,01810161
897,1242253,01830883
898,1242253,01830884
899,1396892,01840804
900,1675389,01970855
901,1873494,01980845
902,1356874,02160033
903,1397164,02180077
904,1492661,02470096
905,1347006,02480075
906,1397627,02500841
907,3622119,02810049
908,1346869,02860818
909,1346869,02860819
910,3389780,02880847
911,2371512,03430830
912,3515082,05140094
913,3490061,05402838
914,1342182,05740025
915,1357840,06300071
916,2371594,12990991
917,2256994,16660804
918,3498113,18191658
919,3072252,19230064
920,3075466,19300077
921,3632093,21060003
922,3075531,25530073
923,2865344,26720889
924,3072203,26770810
925,1347061,03870868
926,3515105,44910809
927,2791015,521235317
928,3630592,02470094
929,2704668,03770040
930,3490082,18051067
931,3489484,01572152
932,20164,00750861
933,3075573,26081026
934,3499886,20600031
935,3506588,13000532
936,3622132,05282871
937,3499931,00810096
938,3499934,02450844
939,3500628,03190822
940,3500776,11990053
941,3514246,11880118
942,2937321,01860039
943,1641990,01260852
944,1947403,01710033
945,1327534,01030042
946,1443570,16010006
947,1448823,17860821
948,3497653,20460001
949,1349227,01810873
950,1267785,01660862
951,3625086,25280302
952,3642113,01990063
953,3641784,16012421
954,1868103,01950149
955,3067027,530220586
956,3067027,01630051
957,3635119,01950145
958,3500628,03190822
959,3633172,04860832
960,3637746,03770038
961,1373989,00730084
962,1495502,01860040
963,1495933,03760823
964,1496039,00760083
966,1497374,01970079
967,1497433,02140106
969,3267015,06750850
970,3267016,05690080
971,3267017,01590084
972,3268854,01660042
975,3418978,04040816
977,3501723,18020815
978,3632093,21060003
980,3498113,18211657
981,3490937,18221066
982,3490937,18231066
983,2675356,04550842
984,2791015,05020184
985,3499032,0643S0801
986,3200166,38940826
987,3200166,38940021
988,3636771,02500858
989,3632444,04880843
990,3641737,00880058
991,3519199,06290041
992,2411223,01960834
993,3197385,02210037
994,2658694,04840836
995,3662992,PAR01170021
996,2656301,00360048
997,3408958,25300820
999,3630815,PAR01730118
1001,3632510,01820083
1002,3514785,00240870
1003,3500299,25860813
1004,2930341,01140816
1005,3644356,21320030
1006,3637484,00990835
1010,1391567,00131001
1012,1188996,02850047
1013,3641710,03220813
1014,3055681,02200044
1015,3504438,12220062
1016,3505445,12220062
1017,3505513,12220062
1018,3506412,12220062
1019,1733119,00251646
1020,3504819,02220024
1021,20056,31290802
1022,20056,31290804
1023,2590105,05420827
1024,3472399,22140806
1025,3493385,22140807
1026,1868103,01950149
1027,2798092,02990831
1028,3663625,02050058
1029,3635979,PAR01460072
1030,3512679,PAR01410069
1031,3512679,PAR01290070
1032,3685740,01564019
1033,2977909,05740808
1034,3500320,06280901
1035,3504216,17170804
1036,3518921,07000044
1037,3633411,00360859
1038,3481129,04640026
1039,3680559,06280893
1040,1947403,01710033
1041,2951825,38210040
1042,3680678,05152875
1043,2929580,06190176
1044,3262071,08590837
1045,3262099,08590839
1046,2992806,02140854
1047,3641908,00670059
1048,3631840,57250803
1049,3632215,57250803
1050,3632217,57250803
1051,3632218,57250803
1052,3632219,57250803
1053,3632224,57250803
1054,3632266,57250803
1055,3632267,57250803
1056,3673721,17860008
1057,3668098,02220024
1058,3670227,43270803
1059,3644264,16760015
1060,2726905,01170084
1061,2790969,01270050
1062,3628787,16012424
1063,3641300,22181092
1064,3633135,28430078
1065,3656431,05610037
1066,3644406,05250840
1067,3668782,11970070
1068,3511798,05152875
1069,3669102,00810829
1070,3408959,00270823
1071,2590110,05420870
1072,2590110,05420871
1073,2590110,05427000
1074,2590110,05427001
1075,2590110,05427002
1076,2590110,05427003
1077,5829,01830857
1078,17803,01620095
1079,1083462,04563068
1080,1127988,01590860
1081,1238339,02150013
1082,1327025,00240112
1083,1331462,01050845
1084,1342182,05740025
1085,1346869,02860819
1086,1346869,02860818
1087,1347006,02480075
1088,1347061,03870868
1089,1347463,07340073
1090,1356874,02160033
1091,1356879,01260060
1092,1356880,01260830
1093,1357840,06300071
1094,1369166,01590090
1095,1391567,00132073
1096,1391567,00131001
1097,1396921,02240824
1098,1397627,02500841
1099,1401399,01990832
1100,1409004,06260078
1101,1411409,01620037
1102,1411409,01620038
1103,1411409,01620074
1104,1411409,01620807
1105,1411409,01620808
1106,1417479,04580021
1107,1417487,02880058
1108,1423276,01260062
1109,1423296,02510012
1110,1423392,01980846
1111,1423464,01620077
1112,1423627,01840069
1113,1423975,01850042
1114,1443570,16010006
1115,1448823,17860821
1116,1486998,02840042
1117,1488874,00242001
1118,1492661,02470096
1119,1551671,01002001
1120,1551671,01002002
1121,1551671,01002003
1122,1551671,01002004
1123,1551671,01001617
1124,1566689,04050021
1125,1597342,01260058
1126,1675389,01970855
1127,1717883,01370825
1128,1750762,01400913
1129,1765382,02160800
1130,1765420,02160027
1131,1784213,01580080
1132,1873494,01980845
1133,1878428,01390817
1134,2535824,0484W0021
1135,2590124,00850844
1136,2590129,11900078
1137,2590132,11900842
1138,2656301,00360048
1139,2840677,02910037
1140,2977909,05740808
1141,2977909,05740809
1142,2977909,05740810
1143,2977909,05740811
1144,2977909,05740812
1145,3089076,03750834
1146,3089076,03750835
1147,3089076,03750837
1148,3089076,03757003
1149,3089076,03757006
1150,3089076,03757007
1151,3089076,03757008
1152,3089076,03757009
1153,3089076,03757010
1154,3089076,03757011
1155,3089076,03757014
1156,3089076,03757015
1157,3204867,40210014
1158,3238385,00730079
1159,3301503,06970045
1160,3350280,01170078
1162,3493385,22140807
1163,3497653,20460001
1164,3500320,06280901
1165,3502126,22260800
1166,3506588,13000532
1167,3511841,22341600
1168,3631342,35871321
1169,3633445,26090858
1170,3636890,05150157
1171,3639762,05600841
1172,3639769,03690068
1173,3642070,00141002
1174,3644251,07110809
1175,3668860,05460819
1176,3669814,18250818
1177,3672127,17303074
1178,3673221,12991024
1179,3673223,12991024
1180,3680006,05530844
1181,3686122,02450027
1182,3686127,54400805
1183,3687817,06400069
1184,3698501,01552131
1185,3698625,25860814
1186,3727352,00511014
1187,3757568,19783031
1188,3760909,45090157
1189,3760910,36640824
1190,3760912,36640824
1191,3761665,25351115
1192,3770872,21321086
1193,3757568,19783013
1194,3633445,26090858
1195,3656431,05610037
1197,1488874,00241008
1198,3685740,01574019
1200,3668050,07740058
1201,1221898,11950030
1202,1334627,11910071
1203,1050505,01400089
1204,3767439,10452860
1205,3767625,05152898
1206,1479517,05370810
1207,3016235,01260061
1211,1273462,03711349
1212,3751906,44930001
1213,1083462,04563068
1215,3770872,21321086
1216,3520541,02500046
1217,3672853,02220022
1220,3644251,07110809
1221,20164,00750863
1222,1127988,01590860
1223,3089076,03750836
1224,13149,00720076
1225,3682467,00290003
1226,3682457,00520805
1227,6768,01260057
1228,25204,01160073
1229,1406610,01680823
1230,1407276,02900044
1231,1411430,02200067
1232,1423516,25350831
1233,1423556,25350830
1234,1498178,05360054
1235,2590139,08000029
1236,2703000,00240885
1237,3483099,18250816
1238,3490109,18250816
1239,3858336,22870809
1240,2683077,00240113
1241,1707454,06310809
1242,1811655,03470022
